"address","category","email","hotelClass","hotelClassAttribution","id","image","latitude","longitude","name","numberOfReviews","numberOfRooms","phone","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Jl. Jend Sudirman no. 321, Balikpapan 76114 Indonesia","hotel","reservation.balikpapan@whizprime.com","3.0","Properti ini diklasifikasikan menurut Giata.","8042397","https://media-cdn.tripadvisor.com/media/photo-o/0f/8e/d3/67/standard-room.jpg","-1.272224","116.85189","Whiz Prime Hotel Balikpapan","109","166","+62 812-5448-8890","$","Rp 299.000 - Rp 403.000","122","19","No. 19 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d8042397-Reviews-Whiz_Prime_Hotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.whizprime.com/balikpapan"
"Jl. Jendral Sudirman no. 345 Sudirman Square, Balikpapan 76114 Indonesia","hotel","balikpapan-sibk@swiss-belhotel.com","3.0","Properti ini diklasifikasikan menurut Giata.","2545348","https://media-cdn.tripadvisor.com/media/photo-o/0a/e0/71/0b/deluxe-single-bed-room.jpg","-1.271092","116.85275","Swiss-Belinn Balikpapan","208","96","+62 542 746180","$","Rp 343.000 - Rp 418.000","122","12","No. 12 dari 122 hotel di Balikpapan","4","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d2545348-Reviews-Swiss_Belinn_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jalan Balikpapan-Handil, Rt.01 Km.44 Margomulyo Samboja, Balikpapan 75273 Indonesia","hotel","marketing_sambojalodge@orangutan.or.id","3.0","Properti ini diklasifikasikan menurut Giata.","2311980","https://media-cdn.tripadvisor.com/media/photo-s/08/13/f5/62/samboja-lodge.jpg","-1.050592","116.98932","Samboja Lodge","73","26","+62 856-6816-1481",,,"45","1","No. 1 dari 45 Penginapan khusus di Balikpapan","4","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d2311980-Reviews-Samboja_Lodge-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. Jendral Sudirman, Balikpapan 76114 Indonesia","hotel","bpp@legrandeurhotels.com","4.0","Properti ini diklasifikasikan menurut Giata.","301015","https://media-cdn.tripadvisor.com/media/photo-o/03/1e/e5/aa/le-grandeur-balikpapan.jpg","-1.273948","116.85252","Le Grandeur Balikpapan","261","185","+62 625 42420155","$$","Rp 1.269.000 - Rp 7.134.000","122","14","No. 14 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d301015-Reviews-Le_Grandeur_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jln. Jendral Sudirman 2, Balikpapan 76113 Indonesia","hotel","bahterabpn@bahterahotel.com","4.0","Properti ini diklasifikasikan menurut Giata.","3474369","https://media-cdn.tripadvisor.com/media/photo-o/07/08/40/c0/hotel-menara-bahtera.jpg","-1.275742","116.839195","Hotel Menara Bahtera","79","188","+62 542 738000","$","Rp 373.000 - Rp 448.000","122","17","No. 17 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d3474369-Reviews-Hotel_Menara_Bahtera-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.bahterahotel.com"
"Jl. Jend. Sudirman 79 Damai, Balikpapan 76114 Indonesia","hotel","info.bpn@midtownindonesia.com","3.0","Properti ini diklasifikasikan menurut Giata.","13960965","https://media-cdn.tripadvisor.com/media/photo-o/28/4c/36/42/midtown-xpress-balikpapan.jpg","-1.269881","116.85805","Midtown Xpress Balikpapan","20","50","+62 542 8525001","$","Rp 358.000 - Rp 403.000","122","18","No. 18 dari 122 hotel di Balikpapan","4.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d13960965-Reviews-Midtown_Xpress_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.midtown.id/xpress-balikpapan"
"Jl. MT Haryono No. 2 Damai, Balikpapan 76114 Indonesia","hotel","reservation.maxonebalikpapan@gmail.com","3.0","Properti ini diklasifikasikan menurut Giata.","15146472","https://media-cdn.tripadvisor.com/media/photo-o/14/c5/c9/df/getlstd-property-photo.jpg","-1.262288","116.85951","MaxOneHotels.com @Balikpapan","30","115","+62 542 8526888","$","Rp 507.000 - Rp 552.000","122","16","No. 16 dari 122 hotel di Balikpapan","4","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d15146472-Reviews-MaxOneHotels_com_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.maxonebalikpapan.com/"
"Jl. A.R.S Mohammad 7, Balikpapan 76112 Indonesia","hotel","reservation@senyiurhotels.com","5.0","Properti ini diklasifikasikan menurut Giata.","1818614","https://media-cdn.tripadvisor.com/media/photo-o/0e/2d/07/64/gran-senyiur-balikpapan.jpg","-1.273043","116.83338","Hotel Gran Senyiur","135","181","+62 812-5112-0011","$","Rp 478.000 - Rp 657.000","122","15","No. 15 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d1818614-Reviews-Hotel_Gran_Senyiur-Balikpapan_East_Kalimantan_Kalimantan.html","http://gran.senyiurhotels.com/"
"Jl. Jendral Sudirman Super Blok H11, Balikpapan 76114 Indonesia","hotel","BalikpapanInfo@quest-hotels.com","3.0","Properti ini diklasifikasikan menurut Giata.","7037896","https://media-cdn.tripadvisor.com/media/photo-o/08/2e/a8/10/quest-hotel-balikpapan.jpg","-1.274024","116.85854","Quest Hotel Balikpapan","212","79","+62 542 7571881","$","Rp 463.000 - Rp 582.000","122","11","No. 11 dari 122 hotel di Balikpapan","4","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d7037896-Reviews-Quest_Hotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.questhotels.com/eng/location/hotel/19-Quest-Balikpapan"
"Jl Jenderal Sudirman No 2, Klandasan Ilir, Balikpapan 76113 Indonesia","hotel","talistings@oyorooms.com","3.0","Properti ini diklasifikasikan menurut Giata.","673617","https://media-cdn.tripadvisor.com/media/photo-o/09/d2/fb/d6/adika-hotel-bahtera.jpg","1.276861","116.838715","Capital O 1735 Adika Bahtera Hotel","64","159","+62 811-548-010","$","Rp 433.000 - Rp 836.000","122","20","No. 20 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d673617-Reviews-Capital_O_1735_Adika_Bahtera_Hotel-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.oyorooms.com/83403?utm_source=tripadvisor&utm_medium=listing&utm_campaign=ID_BPN017"
"Jln. Eri Suparjan I No 2, Balikpapan 76112 Indonesia","hotel","info@ibisbalikpapan.com","3.0","Properti ini diklasifikasikan menurut Accor Hotels.","3360180","https://media-cdn.tripadvisor.com/media/photo-o/25/91/c9/31/exterior.jpg","-1.275141","116.834816","Ibis Balikpapan","244","155","+62 542 820821","$","Rp 373.000 - Rp 448.000","122","13","No. 13 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d3360180-Reviews-Ibis_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.accorhotels.com/gb/hotel-7443-ibis-balikpapan/index.shtml"
"Jl. Mayjend Sutoyo No. 69 Klandasan Ilir, Balikpapan 76113 Indonesia","hotel","info.sagitabalikpapan@horisonhotels.com","3.0","Properti ini diklasifikasikan menurut Giata.","14000271","https://media-cdn.tripadvisor.com/media/photo-o/03/b3/ae/c5/hotel-sagita-balikpapan.jpg","-1.270017","116.84436","Horison Sagita Balikpapan","52","98","+62 542 820300","$","Rp 299.000 - Rp 358.000","122","23","No. 23 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d14000271-Reviews-Horison_Sagita_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.horison-group.com/hotels/36/Horison+Sagita+Balikpapan"
"Jl. Jenderal Ahmad Yani, No. 33 Gunungsari Ilir, Balikpapan 76121 Indonesia","hotel","Hotel@HotelPacificBalikpapan.Com","3.0","Properti ini diklasifikasikan menurut Giata.","1829885","https://media-cdn.tripadvisor.com/media/photo-o/0b/47/7b/93/photo0jpg.jpg","-1.27097","116.83873","Hotel Pacific","50","32","+62 542 750888","$","Rp 328.000 - Rp 358.000","53","1","No. 1 dari 53 B&B/Losmen di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d1829885-Reviews-Hotel_Pacific-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.facebook.com/pacificbalikpapan/"
"Jln. Jendral Sudirman no. 81, Balikpapan 76114 Indonesia","hotel","rsvzurichhotel@gmail.com","3.0","Properti ini diklasifikasikan menurut Giata.","1932145","https://media-cdn.tripadvisor.com/media/photo-o/01/b5/26/4d/zurich-hotel-main-entrance.jpg","-1.277582","116.82743","Zurich Hotel Balikpapan","95","111","+62 542 760985","$","Rp 343.000 - Rp 433.000","122","21","No. 21 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d1932145-Reviews-Zurich_Hotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. Ars, Muhammad RT. 27 no. 32, Balikpapan 76113 Indonesia","hotel","megalestarihotel@yahoo.com","3.0","Properti ini diklasifikasikan menurut Giata.","1633284","https://media-cdn.tripadvisor.com/media/photo-s/02/f0/cd/86/hotel-mega-lestari.jpg","-1.275833","116.83361","Hotel Mega Lestari","34","108","+62 542 411811","$","Rp 299.000 - Rp 328.000","122","24","No. 24 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d1633284-Reviews-Hotel_Mega_Lestari-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.hotelmegalestari.com/"
"Balikpapan Superblock. Jl. Jend Sudirman No. 47 Pentacity Shopping Venue, Balikpapan 76114 Indonesia","hotel","info.astara-bpn@jatrahotels.com","4.0","Properti ini diklasifikasikan menurut Giata.","12526303","https://media-cdn.tripadvisor.com/media/photo-o/14/f9/37/37/astara-hotel-balikpapan.jpg","-1.274554","116.857","Astara Hotel Balikpapan","68","156","+62 542 8524888","$","Rp 761.000 - Rp 925.000","122","22","No. 22 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d12526303-Reviews-Astara_Hotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.jatrahotels.com/astara-balikpapan"
"Jl, Keruang, Gn Bahagia, Balikpapan 76114 Indonesia","hotel","talistings@oyorooms.com","0.0",,"18433526","https://media-cdn.tripadvisor.com/media/photo-o/19/23/6b/8d/oyo-1034-pondok-mulia.jpg","1.244802","116.8804","OYO 1034 Pondok Mulia Guest House","0",,,"$","Rp 149.000 - Rp 179.000",,,,,"HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d18433526-Reviews-OYO_1034_Pondok_Mulia_Guest_House-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.oyorooms.com/60500?utm_source=tripadvisor&utm_medium=listing&utm_campaign=ID_BPN009"
"Jl. MT Haryono no. 55, Balikpapan 76114 Indonesia","hotel",,"3.0","Properti ini diklasifikasikan menurut Giata.","10798205","https://media-cdn.tripadvisor.com/media/photo-o/0d/ee/78/ca/hotel-murah-kamar-luas.jpg","-1.228333","116.8708","Her Hotel and Trade Center","12",,"+62 542 7207788","$","Rp 254.000 - Rp 328.000","122","26","No. 26 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d10798205-Reviews-Her_Hotel_and_Trade_Center-Balikpapan_East_Kalimantan_Kalimantan.html","http://herhotelbalikpapan.com/"
"Jl. H ARS. Muhammad no. 51, Balikpapan 76112 Indonesia","hotel","info@hotelgrandtigamustika.com","4.0","Properti ini diklasifikasikan menurut Giata.","2045381","https://media-cdn.tripadvisor.com/media/photo-o/0a/b3/36/71/photo2jpg.jpg","-1.273232","116.832245","Grand Tiga Mustika Hotel","23","112","+62 542 733788","$","Rp 507.000 - Rp 567.000","122","30","No. 30 dari 122 hotel di Balikpapan","3","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d2045381-Reviews-Grand_Tiga_Mustika_Hotel-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.hotelgrandtigamustika.com/"
"78 Jl. Mt Haryono, Balikpapan 76114 Indonesia","hotel",,"3.0","Properti ini diklasifikasikan menurut Giata.","21587082",,"-1.266032","116.85731","D'primahotel Balikpapan","2","112","+62 542 7585999","$","Rp 328.000 - Rp 373.000","122","25","No. 25 dari 122 hotel di Balikpapan","5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d21587082-Reviews-D_primahotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. H ARS. Muhammad 31-A Klandasan Ulu, Balikpapan 76112 Indonesia","hotel","mitraamanah@yahoo.co.id","2.5","Properti ini diklasifikasikan menurut Giata.","2390732","https://media-cdn.tripadvisor.com/media/photo-o/03/a6/ac/44/mitra-amanah-hotel.jpg","-1.273238","116.83263","OYO 3662 Hotel Mitra Amanah","9","50","+62 822-5584-9233",,,"122","29","No. 29 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d2390732-Reviews-OYO_3662_Hotel_Mitra_Amanah-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.oyorooms.com/id/102896-oyo-hotels-oyo-3662-hotel-mitra-amanah-syariah-balikpapan/"
"Jl. Mulawarman no. 6, RT. 5, Balikpapan Indonesia","hotel",,"0.0",,"10844349","https://media-cdn.tripadvisor.com/media/photo-o/0f/b2/50/a9/1498562358455-largejpg.jpg","-1.258016","116.91926","Pantai Mentari Compound","2",,,,,"122","28","No. 28 dari 122 hotel di Balikpapan","5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d10844349-Reviews-Pantai_Mentari_Compound-Balikpapan_East_Kalimantan_Kalimantan.html",
"Gg. PLN No.5, 6 Gn, Balikpapan 76114 Indonesia","hotel",,"0.0",,"23191308",,"-1.245692","116.87492","Biru Rumahku 2","0",,"+62 822-1141-0651","$$$$","Rp 5.015.000",,,,,"HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d23191308-Reviews-Biru_Rumahku_2-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jalan Markoni Atas No. 8 RT 46 Landasan Ilir, Balikpapan 76114 Indonesia","hotel",,"0.0",,"21290948","https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/29/1a/66/15/caption.jpg","-1.27239","116.8484","RedDoorz Near E Walk Mall Balikpapan","0",,,"$","Rp 164.000 - Rp 209.000",,,,,"HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d21290948-Reviews-RedDoorz_Near_E_Walk_Mall_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.reddoorz.com/en-id/hotel/Indonesia/balikpapan/markoni/reddoorz-near-e-walk-mall-balikpapan"
"Jalan Letjen Suprapto RT 28, 6, Balikpapan 76132 Indonesia","hotel",,"0.0",,"23338359","https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/29/2d/c0/e2/caption.jpg","-1.23259","116.8142","Mahkota Intan Syariah Balikpapan RedPartner","0","17",,"$","Rp 149.000 - Rp 179.000",,,,,"HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d23338359-Reviews-Mahkota_Intan_Syariah_Balikpapan_RedPartner-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.reddoorz.com/en-id/hotel/Indonesia/kampung-baru/balikpapan-utara/balikpapan/mahkota-intan-syariah-balikpapan"
"Ruko Klandasan, Pasar Klandasan Ulu Hotel Grand Ompo, Balikpapan 76100 Indonesia","hotel",,"0.0",,"23624236",,"-1.27803","116.83085","RedDoorz Plus @ Ruko Klandasan Ulu","0",,,,,,,,,"HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d23624236-Reviews-RedDoorz_Plus_Ruko_Klandasan_Ulu-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.reddoorz.com/id-id/hotel/indonesia/klandasan-ulu/jenderal-sudirman/jenderal-ahmad-yani/reddoorz-near-taman-bekapai?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google"
"Jl. Letjend Zaenal Azhar Maulani No. 30 B RT: 37, Balikpapan 76114 Indonesia","hotel",,"0.0",,"20925942",,"-1.260759","116.86818","Airy Eco Syariah MT Haryono Zaeni Azhar 30 Balikpapan","0",,"+62 804 111 2479",,,,,,,"HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d20925942-Reviews-Airy_Eco_Syariah_MT_Haryono_Zaeni_Azhar_30_Balikpapan-Balikpapan_East_Kalimantan_Kali.html","https://www.airyrooms.com/hotel/airy-eco-syariah-mt-haryono-zaeni-azhar-30-balikpapan"
"Jl. A.W. Syahrani RT. 58 No. 62, Balikpapan 76136 Indonesia","hotel",,"2.0","Properti ini diklasifikasikan menurut Giata.","21370914","https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/1c/5f/58/88/bedroom.jpg","-1.217413","116.84133","OYO 3789 Bukit Somber Residence Syariah","0",,,"$","Rp 149.000 - Rp 179.000",,,,,"HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d21370914-Reviews-OYO_3789_Bukit_Somber_Residence_Syariah-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.oyorooms.com/id/103827-oyo-hotels-oyo-3789-bukit-somber-residence-syariah-balikpapan/"
"Jl. Marsma R. Iswahyudi, Gn. Bahagia, Balikpapan 76114 Indonesia","hotel",,"0.0",,"21302136","https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/1c/50/82/70/5942549.jpg","-1.26649","116.882","RedDoorz Plus near Sepinggan Airport 3","0",,,"$","Rp 164.000 - Rp 209.000",,,,,"HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d21302136-Reviews-RedDoorz_Plus_near_Sepinggan_Airport_3-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.reddoorz.com/en-vn/hotel/indonesia/balikpapan/balikpapan-selatan/reddoorz-plus-near-sepinggan-airport-3"
"Jln Soekarno-Hatta KM 2.5 No 35 B RT 82, Balikpapan 76126 Indonesia","hotel",,"0.0",,"23518798","https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/28/f2/dd/29/caption.jpg","-1.225548","116.84476","RedDoorz Near Mall Ramayana Rapak Balikpapan","0",,,"$","Rp 164.000 - Rp 209.000",,,,,"HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d23518798-Reviews-RedDoorz_Near_Mall_Ramayana_Rapak_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.reddoorz.com/en-ph/hotel/indonesia/balikpapan/balikpapan-utara/reddoorz-near-mall-ramayana-rapak-balikpapan"
"Jl. A Yani No.8, Balikpapan Indonesia","hotel",,"0.0",,"3473917",,"-1.2238","116.85816","Hotel Tirta","1",,,,,"122","32","No. 32 dari 122 hotel di Balikpapan","5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d3473917-Reviews-Hotel_Tirta-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl Perum Sosial No.RT 28 Near Balikpapan Utara, Balikpapan 76125 Indonesia","hotel","talistings@oyorooms.com","2.0","Properti ini diklasifikasikan menurut Giata.","18444739","https://media-cdn.tripadvisor.com/media/photo-o/19/23/6d/b9/oyo-1125-sani-guest-house.jpg","-1.226615","116.860596","OYO 1125 Sani Guest House","2",,,"$","Rp 239.000 - Rp 254.000","122","33","No. 33 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d18444739-Reviews-OYO_1125_Sani_Guest_House-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.oyorooms.com/62881?utm_source=tripadvisor&utm_medium=listing&utm_campaign=ID_BPN010"
"Gang Bukit Mutiara, Balikpapan 76114 Indonesia","hotel",,"0.0",,"23341604",,"-1.26529","116.8501","Koening Residence 2","0",,,,,,,,,"HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d23341604-Reviews-Koening_Residence_2-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.reddoorz.com/en-id/hotel/Indonesia/siaga/balikpapan-selatan/balikpapan/koening-residence-2"
