"address","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","image","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Jln. MT. Haryono No. 75, Balikpapan 76114 Indonesia","restaurant","Asia","Cajun & Creole","Makanan Laut","Makanan Bakar","Indonesia","Halal",,,,"Halal",,,,"rajaudangresto@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6550735","https://media-cdn.tripadvisor.com/media/photo-s/05/c0/2f/cf/getlstd-property-photo.jpg","false","false","-1.240047","116.87344","Raja Udang Resto","22","+62 542 765285","$$ - $$$","185","33","No. 33 dari 265 restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d6550735-Reviews-Raja_Udang_Resto-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.facebook.com/rajaudangresto/"
"Jl Kebun Sayur Pasar Kebun Sayur Balikpapan, Balikpapan 76131 Indonesia","restaurant","Makanan Laut","Indonesia","Asia","Halal",,,,,,"Halal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7146235","https://media-cdn.tripadvisor.com/media/photo-o/0d/f6/83/19/photo1jpg.jpg","false","false","-1.235307","116.823494","Warung Haur Gading Balikpapan","55",,"$$ - $$$","185","26","No. 26 dari 265 restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d7146235-Reviews-Warung_Haur_Gading_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jln. Mulawarman 03, Balikpapan 76115 Indonesia","restaurant","Bar","Internasional","Asia","Pub","Indonesia",,,,,,,,,"bbc_batakan@yahoo.com.sg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4246555","https://media-cdn.tripadvisor.com/media/photo-o/03/ea/f3/29/getlstd-property-photo.jpg","false","false","-1.25525","116.92605","Batakan Beach Cafe","36","+62 542 750750","$$ - $$$","185","28","No. 28 dari 265 restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d4246555-Reviews-Batakan_Beach_Cafe-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.letseat.at/batakanbeachcafe"
"Jl. Sungai Ampal Ruko Pasar Segar RB 09, Balikpapan Indonesia","restaurant","Kafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10213443","https://media-cdn.tripadvisor.com/media/photo-o/0d/e7/e6/77/photo3jpg.jpg","false","false","-1.244475","116.85818","Etnica Coffee & Kitchen","21","+62 812-3994-0098","$$ - $$$","185","34","No. 34 dari 265 restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d10213443-Reviews-Etnica_Coffee_Kitchen-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.facebook.com/pages/Etnica-Coffee-Kitchen/160286287980125?ref=br_rs"
"Jl. Mt Haryono Dalam no. 103 RT 040 Gn Bahagia, Balikpapan 76114 Indonesia","restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8298045","https://media-cdn.tripadvisor.com/media/photo-o/09/0b/fb/5c/depot-bintang-mawar-ayam.jpg","false","false","-1.24514","116.87182","Depot Bintang Mawar Ayam Pedas","17","+62 542 7127855","$$ - $$$","185","31","No. 31 dari 265 restoran di Balikpapan","4.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d8298045-Reviews-Depot_Bintang_Mawar_Ayam_Pedas-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. Marsma R. Iswahyudi Gunung Bakaran no. 124 blok A-2, Balikpapan Indonesia","restaurant","Makanan Laut","Asia","Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10195182","https://media-cdn.tripadvisor.com/media/photo-o/11/8f/04/03/20171221-131450-0-largejpg.jpg","false","false","-1.271415","116.87538","Restaurant Sea Food Apong","20","+62 542 8520571","$$ - $$$","185","30","No. 30 dari 265 restoran di Balikpapan","4.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d10195182-Reviews-Restaurant_Sea_Food_Apong-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. Jend. Ahmad Yani, RT. 41 no. 33, Gunung Sari Ilir, Balikpapan Indonesia","restaurant","Makanan Laut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8372869","https://media-cdn.tripadvisor.com/media/photo-o/08/40/94/9a/rumah-makan-teluk-bayur.jpg","false","false","-1.272867","116.83811","Rumah Makan Teluk Bayur","19","+62 542 421500","$$ - $$$","185","29","No. 29 dari 265 restoran di Balikpapan","4.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d8372869-Reviews-Rumah_Makan_Teluk_Bayur-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. Jendrl Sudirman no. 889 Blok C3 - C8 Sudirman Office Park, Balikpapan 76114 Indonesia",,"Cina","Asia","Makanan Sehat","Indonesia","Makanan Laut","Sesuai untuk Vegetarian","Pilihan Vegan","Pilihan Bebas Gluten",,"Sesuai untuk Vegetarian","Pilihan Vegan","Pilihan Bebas Gluten",,"thecoasthcr@gmail.com","1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"10680445","https://media-cdn.tripadvisor.com/media/photo-o/10/ec/c9/e2/bali-dancer-cafe.jpg","true","false","-1.275362","116.87396","The Coast","16","+62 812-5390-8881","$",,,,"4.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d10680445-Reviews-The_Coast-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.facebook.com/thecoast.bpn"
"Jl. Jenderal Sudirman No.93 Klandasan Ilir, Balikpapan Indonesia","restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14140822","https://media-cdn.tripadvisor.com/media/photo-m/1280/16/c3/89/87/photo0jpg.jpg","false","false","-1.277437","116.828514","Depot Miki","7","+62 542 424652",,"185","55","No. 52 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d14140822-Reviews-Depot_Miki-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jln. Brigjen Waluyo Puspoyudo no. 31, Balikpapan 76112 Indonesia","restaurant","Asia","Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8028212","https://media-cdn.tripadvisor.com/media/photo-o/07/d0/a6/3a/getlstd-property-photo.jpg","false","false","-1.273564","116.82991","Kapok Lombok Resto","18","+62 813-5145-5100","$","185","70","No. 67 dari 245 Restoran di Balikpapan","3.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d8028212-Reviews-Kapok_Lombok_Resto-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.facebook.com/pages/Kapok-Lombok-Resto/454789131351403"
"Jln. Jendral Sudirman No. 1 Plaza Balikpapan, Balikpapan 76112 Indonesia","restaurant","Makanan Cepat Saji","Amerika",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6488939","https://media-cdn.tripadvisor.com/media/photo-o/0b/c6/8a/32/rice-box.jpg","false","false","-1.277929","116.82593","Kentucky Fried Chicken (Kfc)","20","+62 542 734225","$$ - $$$","185","62","No. 59 dari 245 Restoran di Balikpapan","3.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d6488939-Reviews-Kentucky_Fried_Chicken_Kfc-Balikpapan_East_Kalimantan_Kalimantan.html",
"Balikpapan baru b2, Balikpapan Indonesia","restaurant","Cina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4607122","https://media-cdn.tripadvisor.com/media/photo-o/07/e4/b2/34/kantin-inter-masakan.jpg","false","false","-1.24025","116.8684","Kantin inter masakan medan","5",,,"185","61","No. 58 dari 245 Restoran di Balikpapan","5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d4607122-Reviews-Kantin_inter_masakan_medan-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. Arjuna RT 056 no 08 Gn. Polisi, Balikpapan 76131 Indonesia","restaurant",,,,,,,,,,,,,,"naturalkopi@gmail.com","1380","960",,,"1380","960",,,"1380","960",,,"1380","960",,,"1380","960",,,"1380","960",,,"1380","960",,,"12550230","https://media-cdn.tripadvisor.com/media/photo-o/0f/9e/13/21/coffee-shop-with-a-manual.jpg","false","false","-1.252292","116.91827","Natural Kopi","5","+62 852-2989-6555","$","185","68","No. 65 dari 245 Restoran di Balikpapan","4.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d12550230-Reviews-Natural_Kopi-Balikpapan_East_Kalimantan_Kalimantan.html","http://tokopedia.link/6EA3M21otV"
"Jl. Indrakila 85 samping Asrama Yatim, Balikpapan 76114 Indonesia","restaurant",,,,,,,,,,,,,,"salam@meracikopi.com","1380","660",,,,,,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"14890689","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/d4/33/0c/meracikopi.jpg","false","false","-1.224278","116.86655","Meracikopi","4","+62 838-4044-4888",,"185","63","No. 60 dari 245 Restoran di Balikpapan","5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d14890689-Reviews-Meracikopi-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.facebook.com/meracikopi/"
"Jln. Jendral Sudirman Komp. Ruko Bandar Blok K 5, Balikpapan 76112 Indonesia","restaurant","Kafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6487849","https://media-cdn.tripadvisor.com/media/photo-o/0a/ff/a9/2e/img-9742-largejpg.jpg","false","false","-1.27139","116.85344","Lotus Cafe","14","+62 542 731757","$","185","69","No. 66 dari 245 Restoran di Balikpapan","3.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d6487849-Reviews-Lotus_Cafe-Balikpapan_East_Kalimantan_Kalimantan.html","https://website-2717149562994406130132-cafe.business.site/"
"Jl. Mayjend Sutoyo No.65, RT.2 Klandasan Ilir, Balikpapan 76114 Indonesia","restaurant","Asia","Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8486348","https://media-cdn.tripadvisor.com/media/photo-o/08/93/ac/73/bakso-enak.jpg","false","false","-1.273024","116.845924","Mie Ayam & Bakso Kolor Ijo","10","+62 813-4732-0570",,"185","64","No. 61 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d8486348-Reviews-Mie_Ayam_Bakso_Kolor_Ijo-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jln. Jendral Sudirman no. 7 Aston Hotel, Balikpapan 76113 Indonesia","restaurant","Cina","Eropa","Asia","Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7178684","https://media-cdn.tripadvisor.com/media/photo-o/06/ce/56/ea/outdoor-seats.jpg","false","false","-1.277295","116.83278","The East 1","8","+62 542 733999","$$ - $$$","185","67","No. 64 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d7178684-Reviews-The_East_1-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jln. Jendral Sudirman no. 47 Ground Floor Pentacity Shopping Venue, Balikpapan 76112 Indonesia","restaurant","Eropa","Asia",,,,,,,,,,,,"blendbalikpapan@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10214583","https://media-cdn.tripadvisor.com/media/photo-o/0b/1a/d4/30/interior-of-blend.jpg","false","false","-1.277344","116.83002","Blend Wine & Co","12","+62 822-5585-0789","$$ - $$$","185","65","No. 62 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d10214583-Reviews-Blend_Wine_Co-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. Jenderal Sudirman Pantai Banua Patra, Balikpapan Indonesia","restaurant",,,,,,,,,,,,,,,"1380","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1380","600",,,"10692324","https://media-cdn.tripadvisor.com/media/photo-o/1b/2d/59/7b/nyiurku-beach-resto.jpg","false","false","-1.280833","116.81438","Restoran Nyiurku","6","+62 811-597-518",,"185","66","No. 63 dari 245 Restoran di Balikpapan","4.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d10692324-Reviews-Nyiurku_Beach_Resto-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.facebook.com/NyiurkuBeachResto"
"Jl. Marsma R. Iswahyudi no.3 Adjacent to Sepinggan International Airport, Balikpapan Indonesia","restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7824750","https://media-cdn.tripadvisor.com/media/photo-o/0d/c0/b3/63/warung-ikan-bakar-malvinas.jpg","false","false","-1.26181","116.89352","Warung Ikan Bakar Malvinas","6","+62 542 760731","$$ - $$$","185","74","No. 71 dari 245 Restoran di Balikpapan","4.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d7824750-Reviews-Warung_Ikan_Bakar_Malvinas-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. Yos Sudarso no. 72, Balikpapan Indonesia","restaurant","Makanan Laut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7939696","https://media-cdn.tripadvisor.com/media/photo-o/07/bd/f8/bf/rumah-makan-pondok-kelapa.jpg","false","false","-1.14029","116.99923","Rumah Makan Pondok Kelapa","14","+62 542 733956","$$ - $$$","185","77","No. 74 dari 245 Restoran di Balikpapan","3.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d7939696-Reviews-Rumah_Makan_Pondok_Kelapa-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. MT Haryono Gedung Giant Ekstra, Lantai Dasar Unit. 1-2, Balikpapan Indonesia","restaurant","Asia","Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11638527","https://media-cdn.tripadvisor.com/media/photo-w/1a/6d/70/aa/ex-bangi-kopitiam-sekarang.jpg","false","false","-1.24892","116.87067","Bangi Kopitiam","7","+62 542 8810933","$$ - $$$","185","73","No. 70 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d11638527-Reviews-Bangi_Kopitiam-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.facebook.com/Bangi-Kopitiam-Balikpapan-744359052339348/"
"Jln. Jendral Sudirman no. 47 E-Walk Balikpapan Super Block, Lt. UG Unit 18-19, Balikpapan 76113 Indonesia","restaurant","Asia","Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6490118","https://media-cdn.tripadvisor.com/media/photo-o/08/36/54/d0/solaria.jpg","false","false","-1.277344","116.83002","Solaria","47","+62 542 7213822","$$ - $$$","185","78","No. 75 dari 245 Restoran di Balikpapan","3.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d6490118-Reviews-Solaria-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.facebook.com/Solaria-Indonesia-248131285339678/"
"Jl. Sungai Ampal No. 23,, Balikpapan 76113 Indonesia","restaurant","Asia","Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13328628","https://media-cdn.tripadvisor.com/media/photo-o/12/0e/d9/b8/20180117-083058-largejpg.jpg","false","false","-1.24567","116.85709","Nasi Kuning H Daud","5",,,"185","71","No. 68 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d13328628-Reviews-Nasi_Kuning_H_Daud-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jln. MT. Haryono No. 8C, Balikpapan 76126 Indonesia","restaurant","Kafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6488289","https://media-cdn.tripadvisor.com/media/photo-o/15/37/56/ca/20181017-203903-largejpg.jpg","false","false","-1.268906","116.85675","Excelso Express","6",,,"185","79","No. 76 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d6488289-Reviews-Excelso_Express-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jln. Tanjungpura I 13, Balikpapan 76112 Indonesia","restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6489004","https://media-cdn.tripadvisor.com/media/photo-o/06/eb/1e/6a/sate-ayam-lengkap.jpg","false","false","-1.27284","116.8264","RM Tanjung Hijrah","10","+62 542 411301","$$ - $$$","185","72","No. 69 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d6489004-Reviews-RM_Tanjung_Hijrah-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jln. Jendral Sudirman No. 88, Balikpapan 76114 Indonesia","restaurant","Asia","Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10137336",,"false","false","-1.277533","116.827736","Bebek Goreng Jumbo Pak Asman","7",,"$","185","76","No. 73 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d10137336-Reviews-Bebek_Goreng_Jumbo_Pak_Asman-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. Gajahmada no. 2 Hotel Menara Bahtera, Balikpapan 76113 Indonesia","restaurant","Cina","Eropa","Asia","Indonesia","Amerika Selatan",,,,,,,,,"bahterabpn@bahterahotel.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10607151","https://media-cdn.tripadvisor.com/media/photo-o/0c/44/a4/01/cozy-spot.jpg","false","false","-1.276081","116.83906","Harbour Coffee Housee","5","+62 542 738000","$","185","75","No. 72 dari 245 Restoran di Balikpapan","4.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d10607151-Reviews-Harbour_Coffee_Housee-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl, Balikpapan Indonesia","restaurant","Asia","Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7723804","https://media-cdn.tripadvisor.com/media/photo-o/0b/c2/d4/66/suasana-rumah-makan.jpg","false","false","-1.27314","116.83846","ayam penyet suroboyo","8","+62 542 424161","$","185","80","No. 77 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d7723804-Reviews-Ayam_penyet_suroboyo-Balikpapan_East_Kalimantan_Kalimantan.html",
"401, Jalan Jend. A. Yani, Balikpapan Indonesia","restaurant","Asia","Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4507013","https://media-cdn.tripadvisor.com/media/photo-o/09/aa/b3/2e/amplang-dengan-rasa-yg.jpg","false","false","-1.26738","116.837","Amplang Karya Utama Kita","8","+62 812-5307-0708",,"185","89","No. 86 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d4507013-Reviews-Amplang_Karya_Utama_Kita-Balikpapan_East_Kalimantan_Kalimantan.html",
