"address","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","email","hotelClass","hotelClassAttribution","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","image","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","numberOfRooms","phone","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Jl. Jenderal Ahmad Yani, No. 33 Gunungsari Ilir, Balikpapan 76121 Indonesia","hotel",,,,,,,,,,,,,,"Hotel@HotelPacificBalikpapan.Com","3.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1829885","https://media-cdn.tripadvisor.com/media/photo-o/0b/47/7b/93/photo0jpg.jpg",,,"-1.27097","116.83873","Hotel Pacific","50","32","+62 542 750888","$","$22 - $24","53","1","#1 of 53 B&Bs / Inns in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d1829885-Reviews-Hotel_Pacific-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.facebook.com/pacificbalikpapan/"
"Jln. Jendral Sudirman no. 81, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,"rsvzurichhotel@gmail.com","3.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1932145","https://media-cdn.tripadvisor.com/media/photo-o/01/b5/26/4d/zurich-hotel-main-entrance.jpg",,,"-1.277582","116.82743","Zurich Hotel Balikpapan","95","111","+62 542 760985","$","$23 - $29","122","21","#21 of 122 hotels in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d1932145-Reviews-Zurich_Hotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html",
"Balikpapan Superblock. Jl. Jend Sudirman No. 47 Pentacity Shopping Venue, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,"info.astara-bpn@jatrahotels.com","4.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12526303","https://media-cdn.tripadvisor.com/media/photo-o/14/f9/37/37/astara-hotel-balikpapan.jpg",,,"-1.274554","116.857","Astara Hotel Balikpapan","68","156","+62 542 8524888","$","$51 - $62","122","22","#22 of 122 hotels in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d12526303-Reviews-Astara_Hotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.jatrahotels.com/astara-balikpapan"
"Jl. Ars, Muhammad RT. 27 no. 32, Balikpapan 76113 Indonesia","hotel",,,,,,,,,,,,,,"megalestarihotel@yahoo.com","3.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1633284","https://media-cdn.tripadvisor.com/media/photo-s/02/f0/cd/86/hotel-mega-lestari.jpg",,,"-1.275833","116.83361","Hotel Mega Lestari","34","108","+62 542 411811","$","$20 - $22","122","24","#24 of 122 hotels in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d1633284-Reviews-Hotel_Mega_Lestari-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.hotelmegalestari.com/"
"Jl Jenderal Sudirman No 2, Klandasan Ilir, Balikpapan 76113 Indonesia","hotel",,,,,,,,,,,,,,"talistings@oyorooms.com","3.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"673617","https://media-cdn.tripadvisor.com/media/photo-o/09/d2/fb/d6/adika-hotel-bahtera.jpg",,,"1.276861","116.838715","Capital O 1735 Adika Bahtera Hotel","64","159","+62 811-548-010","$","$29 - $56","122","20","#20 of 122 hotels in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d673617-Reviews-Capital_O_1735_Adika_Bahtera_Hotel-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.oyorooms.com/83403?utm_source=tripadvisor&utm_medium=listing&utm_campaign=ID_BPN017"
"Jln. Jendral Sudirman 2, Balikpapan 76113 Indonesia","hotel",,,,,,,,,,,,,,"bahterabpn@bahterahotel.com","4.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3474369","https://media-cdn.tripadvisor.com/media/photo-o/07/08/40/c0/hotel-menara-bahtera.jpg",,,"-1.275742","116.839195","Hotel Menara Bahtera","79","188","+62 542 738000","$","$25 - $30","122","17","#17 of 122 hotels in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d3474369-Reviews-Hotel_Menara_Bahtera-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.bahterahotel.com"
"Jl. Jend. Sudirman 79 Damai, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,"info.bpn@midtownindonesia.com","3.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13960965","https://media-cdn.tripadvisor.com/media/photo-o/28/4c/36/42/midtown-xpress-balikpapan.jpg",,,"-1.269881","116.85805","Midtown Xpress Balikpapan","20","50","+62 542 8525001","$","$24 - $27","122","18","#18 of 122 hotels in Balikpapan","4.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d13960965-Reviews-Midtown_Xpress_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.midtown.id/xpress-balikpapan"
"Jln. Eri Suparjan I No 2, Balikpapan 76112 Indonesia","hotel",,,,,,,,,,,,,,"info@ibisbalikpapan.com","3.0","This property is classified according to Accor Hotels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3360180","https://media-cdn.tripadvisor.com/media/photo-o/25/91/c9/31/exterior.jpg",,,"-1.275141","116.834816","Ibis Balikpapan","244","155","+62 542 820821","$","$25 - $30","122","13","#13 of 122 hotels in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d3360180-Reviews-Ibis_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.accorhotels.com/gb/hotel-7443-ibis-balikpapan/index.shtml"
"Jl. Jendral Sudirman, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,"bpp@legrandeurhotels.com","4.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"301015","https://media-cdn.tripadvisor.com/media/photo-o/03/1e/e5/aa/le-grandeur-balikpapan.jpg",,,"-1.273948","116.85252","Le Grandeur Balikpapan","261","185","+62 625 42420155","$$","$85 - $478","122","14","#14 of 122 hotels in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d301015-Reviews-Le_Grandeur_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. Jend Sudirman no. 321, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,"reservation.balikpapan@whizprime.com","3.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8042397","https://media-cdn.tripadvisor.com/media/photo-o/0f/8e/d3/67/standard-room.jpg",,,"-1.272224","116.85189","Whiz Prime Hotel Balikpapan","109","166","+62 812-5448-8890","$","$20 - $27","122","19","#19 of 122 hotels in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d8042397-Reviews-Whiz_Prime_Hotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.whizprime.com/balikpapan"
"Jl. Jendral Sudirman Super Blok H11, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,"BalikpapanInfo@quest-hotels.com","3.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7037896","https://media-cdn.tripadvisor.com/media/photo-o/08/2e/a8/10/quest-hotel-balikpapan.jpg",,,"-1.274024","116.85854","Quest Hotel Balikpapan","212","79","+62 542 7571881","$","$31 - $39","122","11","#11 of 122 hotels in Balikpapan","4","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d7037896-Reviews-Quest_Hotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.questhotels.com/eng/location/hotel/19-Quest-Balikpapan"
"Jl. Mayjend Sutoyo No.69 Klandasan Ilir, Balikpapan 76113 Indonesia","hotel",,,,,,,,,,,,,,"info.sagitabalikpapan@horisonhotels.com","3.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000271","https://media-cdn.tripadvisor.com/media/photo-o/03/b3/ae/c5/hotel-sagita-balikpapan.jpg",,,"-1.270017","116.84436","Horison Sagita Balikpapan","52","98","+62 542 820300","$","$20 - $24","122","23","#23 of 122 hotels in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d14000271-Reviews-Horison_Sagita_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.horison-group.com/hotels/36/Horison+Sagita+Balikpapan"
"Ruko Klandasan, Pasar Klandasan Ulu Hotel Grand Ompo, Balikpapan 76100 Indonesia","hotel",,,,,,,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23624236",,,,"-1.27803","116.83085","RedDoorz Plus @ Ruko Klandasan Ulu","0",,,,,,,,,"HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d23624236-Reviews-RedDoorz_Plus_Ruko_Klandasan_Ulu-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.reddoorz.com/id-id/hotel/indonesia/klandasan-ulu/jenderal-sudirman/jenderal-ahmad-yani/reddoorz-near-taman-bekapai?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google"
"Gang Bukit Mutiara, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23341604",,,,"-1.26529","116.8501","Koening Residence 2","0",,,,,,,,,"HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d23341604-Reviews-Koening_Residence_2-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.reddoorz.com/en-id/hotel/Indonesia/siaga/balikpapan-selatan/balikpapan/koening-residence-2"
"Jl. A.R.S Mohammad 7, Balikpapan 76112 Indonesia","hotel",,,,,,,,,,,,,,"reservation@senyiurhotels.com","5.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1818614","https://media-cdn.tripadvisor.com/media/photo-o/0e/2d/07/64/gran-senyiur-balikpapan.jpg",,,"-1.273043","116.83338","Hotel Gran Senyiur","135","181","+62 812-5112-0011","$","$32 - $44","122","15","#15 of 122 hotels in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d1818614-Reviews-Hotel_Gran_Senyiur-Balikpapan_East_Kalimantan_Kalimantan.html","http://gran.senyiurhotels.com/"
"Jalan Letjen Suprapto RT 28, 6, Balikpapan 76132 Indonesia","hotel",,,,,,,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23338359","https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/29/2d/c0/e2/caption.jpg",,,"-1.23259","116.8142","Mahkota Intan Syariah Balikpapan RedPartner","0","17",,"$","$10 - $12",,,,,"HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d23338359-Reviews-Mahkota_Intan_Syariah_Balikpapan_RedPartner-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.reddoorz.com/en-id/hotel/Indonesia/kampung-baru/balikpapan-utara/balikpapan/mahkota-intan-syariah-balikpapan"
"Jl. MT Haryono No. 2 Damai, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,"reservation.maxonebalikpapan@gmail.com","3.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15146472","https://media-cdn.tripadvisor.com/media/photo-o/14/c5/c9/df/getlstd-property-photo.jpg",,,"-1.262288","116.85951","MaxOneHotels.com @Balikpapan","30","115","+62 542 8526888","$","$34 - $37","122","16","#16 of 122 hotels in Balikpapan","4","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d15146472-Reviews-MaxOneHotels_com_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.maxonebalikpapan.com/"
"Jln Soekarno-Hatta KM 2.5 No 35 B RT 82, Balikpapan 76126 Indonesia","hotel",,,,,,,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23518798","https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/28/f2/dd/29/caption.jpg",,,"-1.225548","116.84476","RedDoorz Near Mall Ramayana Rapak Balikpapan","0",,,"$","$11 - $14",,,,,"HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d23518798-Reviews-RedDoorz_Near_Mall_Ramayana_Rapak_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.reddoorz.com/en-ph/hotel/indonesia/balikpapan/balikpapan-utara/reddoorz-near-mall-ramayana-rapak-balikpapan"
"Jl. A.W. Syahrani RT. 58 No. 62, Balikpapan 76136 Indonesia","hotel",,,,,,,,,,,,,,,"2.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21370914","https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/1c/5f/58/88/bedroom.jpg",,,"-1.217413","116.84133","OYO 3789 Bukit Somber Residence Syariah","0",,,"$","$10 - $12",,,,,"HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d21370914-Reviews-OYO_3789_Bukit_Somber_Residence_Syariah-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.oyorooms.com/id/103827-oyo-hotels-oyo-3789-bukit-somber-residence-syariah-balikpapan/"
"Jl. Jendral Sudirman no. 345 Sudirman Square, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,"balikpapan-sibk@swiss-belhotel.com","3.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2545348","https://media-cdn.tripadvisor.com/media/photo-o/0a/e0/71/0b/deluxe-single-bed-room.jpg",,,"-1.271092","116.85275","Swiss-Belinn Balikpapan","208","96","+62 542 746180","$","$23 - $28","122","12","#12 of 122 hotels in Balikpapan","4","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d2545348-Reviews-Swiss_Belinn_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html",
"Gg. PLN No.5, 6 Gn, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23191308",,,,"-1.245692","116.87492","Biru Rumahku 2","0",,"+62 822-1141-0651","$$$$","$336",,,,,"HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d23191308-Reviews-Biru_Rumahku_2-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jalan Sepinggan Baru 87, Balikpapan 76116 Indonesia","hotel",,,,,,,,,,,,,,,"2.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21302165","https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/1c/50/82/d0/propertybuilding.jpg",,,"-1.25327","116.9045","RedDoorz Syariah near Sepinggan Airport Balikpapan","0",,,"$","$17 - $21",,,,,"HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d21302165-Reviews-RedDoorz_Syariah_near_Sepinggan_Airport_Balikpapan-Balikpapan_East_Kalimantan_Kaliman.html","http://www.reddoorz.com/en-id/hotel/Indonesia/balikpapan/sepinggan/reddoorz-near-sepinggan-airport-balikpapan"
"Jalan Markoni Atas No. 8 RT 46 Landasan Ilir, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21290948","https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/29/1a/66/15/caption.jpg",,,"-1.27239","116.8484","RedDoorz Near E Walk Mall Balikpapan","0",,,"$","$11 - $14",,,,,"HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d21290948-Reviews-RedDoorz_Near_E_Walk_Mall_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.reddoorz.com/en-id/hotel/Indonesia/balikpapan/markoni/reddoorz-near-e-walk-mall-balikpapan"
"Jl. Marsma R. Iswahyudi, Gn. Bahagia, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21302136","https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/1c/50/82/70/5942549.jpg",,,"-1.26649","116.882","RedDoorz Plus near Sepinggan Airport 3","0",,,"$","$11 - $14",,,,,"HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d21302136-Reviews-RedDoorz_Plus_near_Sepinggan_Airport_3-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.reddoorz.com/en-vn/hotel/indonesia/balikpapan/balikpapan-selatan/reddoorz-plus-near-sepinggan-airport-3"
"78 Jl. Mt Haryono, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,,"3.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21587082",,,,"-1.266032","116.85731","D'primahotel Balikpapan","2","112","+62 542 7585999","$","$22 - $25","122","25","#25 of 122 hotels in Balikpapan","5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d21587082-Reviews-D_primahotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. H ARS. Muhammad no. 51, Balikpapan 76112 Indonesia","hotel",,,,,,,,,,,,,,"info@hotelgrandtigamustika.com","4.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2045381","https://media-cdn.tripadvisor.com/media/photo-o/0a/b3/36/71/photo2jpg.jpg",,,"-1.273232","116.832245","Grand Tiga Mustika Hotel","25","112","+62 542 733788","$","$34 - $38","122","30","#30 of 122 hotels in Balikpapan","3","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d2045381-Reviews-Grand_Tiga_Mustika_Hotel-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.hotelgrandtigamustika.com/"
"Jl, Keruang, Gn Bahagia, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,"talistings@oyorooms.com","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18433526","https://media-cdn.tripadvisor.com/media/photo-o/19/23/6b/8d/oyo-1034-pondok-mulia.jpg",,,"1.244802","116.8804","OYO 1034 Pondok Mulia Guest House","0",,,"$","$10 - $12",,,,,"HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d18433526-Reviews-OYO_1034_Pondok_Mulia_Guest_House-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.oyorooms.com/60500?utm_source=tripadvisor&utm_medium=listing&utm_campaign=ID_BPN009"
